Kiswahili,Kikuyu
kwani bado hamjapata ufunuo ,kai mutari murataukiruo 
Mti wowote usiozaa mazao mema,Muti o wothe utaciaraga maciaro mega
enda na mtu mmoja au wawili ,thii na mundu umwe kana eri 
Bethilehemu ya nchi ya Yuda ,Bethilehemu ya bururi wa Juda 
mtu asiyeniwacha au kuningoja,mundu utandiga kana kunjeterera
makutano kubwa ya watu kutoka,irindı nene cia andu  kuuma
Lakini Yesu akamwambia kuwa ,No Jesu akimwira atiri 
kwa sababu ya kutubu kwenyu ,ni undu wa kwirira kwanyu 
wanafunzi wake wakaja kwake .,arutwo ake magiuka kuri we .
“ Hiki ni kitendo cha ajabu ,“ Ũyũ nĩ ũndũ wa magegania 
na hakuna jambo litawalemea .,na gutiri undu ungimurema .
Uzia alikua baba ya Jothamu ,Uzia aari ithe wa Jothamu 
Mbwa huchunga manyumba yetu .,Ngui igitagira micii itu .
Manase alikua baba ya Amoni ,Manase aari ithe wa Amoni 
 Mtu huyu anamkufuru Mungu . , Mundu uyu ni araruma Ngai . 
Watu walikula chakula chote .,Andu mariire irio ciothe .
Mlango ulikuwa umefunguliwa .,Murango wari muhingure .
akatokezea majini mara moja ,akiumira mai-ini o rimwe 
usisumbuane na mtu yule mwovu,ndukanagiane na mundu uria muru
kule alijaribiwa na Shetani .,kuria aageririo ni Mucukani .
mmepewa bure  peaneni bure .,muheetwo tuhu  heanagai tuhu .
mlienda jangwani kuona nini .,mwathiite weru-ini kuona kii .
Gamalieli mwana wa Pedasuri ,Gamalieli mũrũ wa Pedahuzuri 
Ikiwa una mtu mwingine huku ,Angĩkorwo wĩ na andũ angĩ gũũkũ 
Utakuwa baba wa mataifa mengi,nĩũgaatuĩka ithe wa ndũũrĩrĩ nyingĩ
Vile unapovitoa kama sadaka ,Rĩrĩa ũraciruta ta igongoona 
Adamu akalala na mkewe wake ,Adamu agĩgĩkoma na mũtumia wake 
pamoja na binti zake wawili ,hamwe na aarĩ aake eerĩ 
Iwapo kuna watu arubaini tu ?,Ĩ kũngĩkorwo kũrĩ na andũ mĩrongo ĩna tu ?
Wafuatao ni wazawa wa Shemu .,Ici nĩcio njiarwa cia Shemu .
Abrahamu akajenga madhabahu ,Aburahamu agĩthondeka kĩgongoona 
Watoe huku nje  tulala nao ! ,Moimie na gũũkũ nja tũkome nao ! ”
Atashika mabawa yake mawili ,anyiite mathagu maayo meerĩ 
Akaenda akajaza kiriba maji ,Agĩthiĩ akĩiyũria mondo ya rũũa maaĩ 
pande wa mashariki wa Edeni .,mwena wa irathĩro wa Edeni .
baada ya miezi tisa toka sasa,thuutha wa mĩeri kenda kuuma rĩu
Tutakutenda mabaya kuwaliko .,Tũgũgwĩka ũũru kũmakĩra .
Wakageuka na kurudi Kadeshi .,Magĩkĩgarũrũka magĩcooka Kadeshi .
Abramu akamwambia Loti kuwa ,Aburamu agĩkĩĩra Loti atĩrĩ 
msije mkaangamia mjini huku .,mũtikaae kũniinanĩrio na itũũra rĩĩrĩ .
haawangeweza kuendelea kuishi,matingĩahotire gũthiĩ na mbere gũikarania
Waliangalia pembeni wasione .,mehũgũrĩĩte na kũngĩ matikaamĩone .
akaenda kwa Wahiti akawaambia,agĩthiĩ kũrĩ Ahiti akĩmeera
nayo mvua ikawacha kunyesha .,nayo mbura ĩgĩtiga kuura .
nayo maji yakaanza kupungua .,namo maaĩ makĩambĩrĩria kũhũa .
ndiyo nitawapa wazawa wako  .,nĩguo ngũhe njiarwa ciaku .
kwenye mambo ya kupata watoto,ũhoroinĩ wa kũgĩa ciana
Ahiezeri mwana wa Amishadai ,Ahiezeri mũrũ wa Amishadai 
Alikua msichana mrembo sana ,Aarĩ mũirĩĩtu mũthaka mũno
mti wa mkwaju huko Beer-sheba,mũtĩ wa mũkarakaba kũu Beerisheba
“ Hagari  mjakazi wa Sarai !,“ Hagari  ndungata ya Sarai !
Lameki akawaambia wake zake ,Lameki akĩĩra atumia aake 
binti wa kwanza akalala naye .,mũirĩĩtu ũrĩa mũkũrũ agĩkoma naake .
Hamu alikuwa baba yake Kanaani,Hamu nĩwe warĩ ithe wa Kanaani
Jehoramu alikua baba ya Uzia ,Jehoramu aari ithe wa Uzia 
umwendee mwana wangu Isaka mke,ũgĩĩrĩre mũrũ wakwa Isaaka mũtumia
wala kusimama popote bondeni ,kana mũtigaatithie gĩtuambainĩ 
Hadi upepo na ziwa vinamtii ! ,Nginya ruhuho na iria ni iramwathikira ! 
lakini kwanza niuzie haki yako,No wambire kũnyenderia ũrigithaathi waku
 Nikigusa tu nguo yake ya juu, Ingihutia  tu nguo  yake ya iguru 
Mfalme wa Misri akawazungumzia,Mũthamaki wa Misiri akĩarĩria
nchi ilikuwa imekauka kabisa .,thĩ nĩyomĩĩte biũ .
lililokuwamo shamba la Makpela,yarĩ mũgũnda wa Makipela
nayo safina ikaelea juu yake .,nayo thabina ĩkĩrera igũrũ .
' Kipimo mia moja cha mafuta ',' Ithimi igana rimwe cia maguta '
Lakini Mose akamwambia Mungu ,No Musa agĩcookeria Ngai 
Kesho yake asubuhi na mapema ,Mũthenya ũyũ ũngĩ rũũciinĩ tene 
mawimbi yakavuma sana ziwani ,makumbi makihuurana muno iria-ini 
akaona kuwa kichaka kinawaka ,akĩona atĩ kĩhinga nĩgĩakanaga 
katika nchi ile nilimozaliwa ,bũrũriinĩ ũrĩa ndaciarĩirwo 
na baadaya ya kufunga mlango ,na thutha wa kuhinga murango 
upande wa mashariki ya Betheli,mwena wa irathĩro wa Betheli
Alikuwa na makundi ya kondoo ,Aarĩ na ndũũru cia ng'ondu 
Usibishane na mtu yyle mwovu ,Ndukanagiane na mundu uria muru 
waokolewe kutoka kwa wanyapara,mahonokio kuuma kũrĩ anyabaara
“ Ni mimi Mungu wa baba zako ,“ Nĩ niĩ Ngai wa maithe maaku 
Jifunzeni na vile maua hukua ,Mwirutei na uria mahua makuraga 
Tera akamchukua mwanawe Abramu,Tera nĩoire mũũrũwe Aburamu
Lakini mimi nitawaambia kuwa ,No nii ngumwira atiri 
Kila siku huwa na maovu yake .,O muthenya ukoragwo na uuru waguo .
anamweka hatarini ya kusinzi ,amuingiragia ugwati-ini wa gutharia 
kama bustani ya Mwenyezi-Mungu,o ta mũgũnda wa MWATHANI
Ingilieni mlango ule mwembamba,Tonyerai muromo uria muceke
au mti mwovu uzae mazao mema .,kana muti muru uciare maciaro mega .
wakati atahukumiwa kortini . ',agaatuiruo igooti-ini . '
Kwa maana nitawaambieni kuwa ,Tondu ngumwira atiri 
lakini huiwekelea mahali juu ,no mauigagirira handu iguru 
Haiwezi kuwa na umuhimu tena ,Ndungikoruo na bata ringi 
Watu hawa wote wako na umoja ,Andũ aya oothe me rũmwe 
Misri alikuwa baba ya Waludi ,Misiri aarĩ ithe wa andũ a Ludia 
Nimefanya kama ulivyoniagiza .,nĩnjĩkĩĩte ũrĩa ũnjĩĩrire .
hivyo Isaka akakiita Rehobothi,kwoguo agĩgĩtua Wĩyathi .
Atakuwa mtumwa wa ndugu zake .,Egũtuĩka ngombo ya aariũ a nyina .
Furahini na kushangilia sana ,kenai na mucanjamuke muno 
ili usijikwae mguu kwa jiwe . ,niguo ndukarigwo kuguru ni ihiga . 
JOthamu alikua baba ya Ahamu ,Jothamu aari ithe wa Ahazu 
akanywa divai ya mizabibu hiyo,nĩanyuire ndibei ya mĩthabibũ ĩyo
' Wewe una deni kiasi gani ? ','Wee uri na thiiri uigana atia?'
naye Mungu akamponya Abimeleki,naake Ngai akĩhonia Abimeleki
Baada ya siku saba kutoka sasa,Thuutha wa mĩthenya mũgwanja kuuma rĩu
 Saba na samaki   wakamjibu .,Mugwanja na thamaki   makimucokeria .
pasipo na wanawake na watoto .,hatari na atumia na ciana .
akaingia kwenye mashua akaenda,agitonya gataru agithii .
Simioni Petero akamjibu hivi ,Simoni Petero akimucokeria uu 
Hiyo ni kitu takatifu kabisa ,kĩndũ kĩu nĩ gĩtheru mũno 
hivyo ndivyo ntakuwa na wewe ,uguo niguo ndirikoragwo nawe 
Abrahamu akasimama akawainamia,Aburahamu akĩrũũgama akĩmainamĩrĩra
kaburi ya kumzika mke wako . ”,mbĩĩrĩra ya gũthika mũtumia waku . ”
walimzika pangoni la Makpela ,nĩciamũthikire ngurungainĩ ya Makipela 
akupe nafaka na divai nyingi !,Arokũhe irio na ndibei nyingĩ !
Mahubiri ya Yohana mbatizaji .,Mahujio ma Johana mubatithania .
Huruma ya wanaume haina magugu,Tha cia arume itiri iria
na akapona kutoka wakati huo .,na  gakihona kuuma hindi iyo .
mambo yote yajulikane vizuri .,maundu mothe mamenyeke wega .
hata mimi nitakua pamoja nao .,o  na nii ni ndikoragwo hamwe nao .
“Je utakwenda na mtu huyu ? ”,“ Nĩũkwenda gũthiĩ na mũndũ ũyũ ? ”
akawaona mandugu wa mama mmoja,akıona ariu eri a nyina umwe
ili nikubariki kabla ya kufa .,nĩguo ngũraathime itanakua .
Ee Bethlehemu  nchini Yudea .,Nawe Bethilehemu bũrũriinĩ wa Judea .
na nitapanua nchi pande zote .,na nĩikaaramia bũrũri mĩena yothe .
hata msibebe mikoba safarini .,o na mutigakuue mondo rugendoini .
Ahamu alikua baba ya Hezekia ,Ahazu aari ithe wa Hezekia 
Utawale watu jamaa zako wote ,Ũroathaga andũ aanyu oothe
wakaongea kwa lugha za ng`ambo,Makiiariria na thiomi cia ruraya
Mtu akiwa na kondoo mia moja ,Mundu angikoruo na ng'ondu igana rimwe 
Hezironi alikua baba ya Ramu ,Hezironi aari ithe wa Ramu 
yule aliyekuwa mjakazi wa Sara,ũrĩa warĩ ndungata ya Sara
wale wanaoweza kwenda vitani .,arĩa mangĩhota gũthiĩ mbaara .
Lameki alioa wanawake wawili ,Lameki aahikirie atumia eerĩ 
na wenye nguvu kutuliko sisi .,na nĩmatũkĩrĩĩtie hinya .
hhata alipokuwa mzee mkongwe .,o na arĩ mũthuuri mũkũrũ .
Tunda lile nilipendalo sana ni,Itunda riria nyendete muno ni
yuko wapi ndugu yako  Abeli ?,E ha mũrũ wa maitũguo  Habili ?
akaenda kuishi  nchi ya Nodi .,agĩthiĩ gũtũũra bũrũri wa Mbũrũũrũ .
pamoja na vyombo vyake vyote ,o hamwe na indo ciothe ciayo 
Shamba hilo lilikua na pango ,Mũgũnda ũcio warĩ na ngurunga 
wakubwa na wadogo walikua hapo,mũnene na mũnyiinyi maarĩ hau
Labani akamwambia  “ nena . ”,Labani akĩmwĩra  “ Aria . ”
Mwenyezi-Mungu ambaye namcha ,MWATHANI ũrĩa njathĩkagĩra 
akazaa mtoto mwingne mvulana .,agĩciara kaana kangĩ ga kahĩĩ .
aliinama kwa heshima na kusema,Akĩinamĩrĩra akĩhuutia thĩ na thiithi
mkiwapenda wale wanaowapenda ,mungienda o aria mamwendete-ri 
geuza mawe haya yawe mikate . ,garura mahiga maya matuike migate . 
Kazi hufanywa mmoja akifanya .,Wira urutagwo umwe aruta .
Henoki alikuwa baba ya Iradi ,Enoku aarĩ ithe wa Iradu 
akatoka huko akaenda Galilaya .,akiuma kuu agithii Galili .
Tena baada ya kutoka Nazareti ,Ningi thutha wa kuuma Nazarethi 
ng`ambo ile ingine ya Yordani ,murimo uria ungi wa Jorodani 
Hezekia alikua baba ya Manase ,Hezekia aari ithe wa Manase 
Baada ya kuhamishwa Babilioni ,Thutha wa guthamirio Babuloni 
Kule ambako wanaishi wakanani ,kũrĩa rĩu gũtũirwo nĩ Akanaani 
Ni mkuu wangu Sarai namkimbia .,Nĩ mwathi wakwa Sarai ndĩroorĩra .
akaelekea upande wa mashariki .,agĩgĩthiĩ mwena wa irathĩro .
ũrĩa warĩ mũthamaki wa Salemu ,ambaye alkikua mfalme wa Salemu 
nitawapa nchi yote uliyo iona ,nĩngũmũhe bũrũri wothe ũcio ũroona 
sisi hukuona kiongozi maarufu ,ithuĩ tũkuonaga wĩ mũtongoria mũnene 
Yesu akaanza kuhubiri akisema ,Jesu akiambiriria kuhunjia akiugaga 
Mathani alikua baba ya Yakobo ,Mathani aari ithe wa Jakubu 
na kila mtu atakuwa adui yake .,nao matũũre mamũũgitaga
Lakini hicho hawakukigombania ,no kĩu gĩtiagĩire ngarari 
iliyoko njiani kuelekea Shuri .,njĩrainĩ ya gũthiĩ Shuru .
na kupumzika chini ya mti huu .,mũhuurũke rungu rwa mũtĩ ũyũ .
Ramu alikua baba ya Aminadabu ,Ramu aari ithe wa Aminadabu 
Eliakini alikua baba ya Azoro ,Eliakimi aari ithe wa Azoro 
na muwaombee wale wanaowaudhi ,na muhoyagire aria mamunyariraga 
alipofika mahali akalala hapo .,agĩkinya handũ akĩraara ho .
Najua mateso yale waliyo nayo ,Nĩnjũũĩ mathĩĩna marĩa marĩ namo 
Tena  Yesu akawapa onyo kali ,Ningi  Jesu akimahe mukaana murumu 
na muwaombee wale wanaowaudhi ,na muhoyagire aria mamunyariraga 
' Vipimo mia moja vya ngano . ',' Ithimi igana rimwe cia ngano . '
saba za ndume na saba za kike ,mũgwanja cia njamba na mũgwanja cia nga 
Mwenyezi-Mungu akamwambia Noa .,MWATHANI akĩĩra Noa .
Mti wote shambani una matunda .,Muti wothe mugunda-ini wina matunda .
Mimba hiyo ilikuwa ya mapacha .,Nda ĩyo yarĩ ya mahatha .
Kisha akamfunga mwanawe Isaka ,gĩcooka akĩoha mũũrũwe Isaaka 
watumishi wa kiume na wa kike ,ndungata cia arũme na cia andũ a nja 
na nikimaliza kula nikubariki .,na ndarĩĩkia kũrĩa ngũraathime .
alipotimiza umri wa siku nane ,na ge ga thikũ inyaanya 
Jambo linalofanywa halirudiwi .,Undu urekwo nducokagirwo .
na kumwingiza ndani ya safina .,na akĩmĩtoonyia thĩinĩ .
Ujuzi wa mtu mmoja hauwezi lima,Ugi wa mundu umwe ndurimaga
Usisubiri damu kutoka kwa nzi .,Ndugeterere thakame kuma kuri ngi .
Mungu wa bwana wangu Abrahamu ,Ngai wa mũnene wakwa Aburahamu 
Mungu akamfumbua Hagari macho ,Ngai agĩkĩmũhingũra maitho 
 Musa mtumishi wangu amekufa  , Musa ndugata yakwa niakuite  
Watoto wake Isaka na Ishmaeli ,Ciana ciake Isaaka na Ishumaeli
ikatoka ndani ya kitoto jicho ,ikiuma thiini wa kamwana kau 
Na akikosa kusikia hata umati ,Na angiaga kuigua o na nginya kiungano 
Wakamwita Rebeka na kumwuliza ,Magĩgĩĩta Rebeka makĩmũũria 
Ibrahimu akawa baba ya Isaaka .,Iburahimu agıtuika ithe wa Isaaka .
maana kwako atatokea kiongozi ,tondũ thĩinĩ waku nĩkuo gũkoima mũtongoria 
mtu yeyote asiyefuata hata moja,mundu o wothe utarumagirira o na rimwe
wacheni amani yenu iwarejelee .,rekei thayu wanyu umucokerere .
wacha kuonyesha gari kukwea mti,Tiga kuonia ngari kuhaica muti
Naye njiwa huyo akarudi jioni ,Nayo ndutuura iyo ĩgĩcooka hwaĩinĩ 
na Esau akawa mwindaji hodari ,na Esau agĩtuĩka mũgwĩmi njoorua
walianza kumcheka kwa dhihaka .,makiambiriria kumuthekerera na kunyururi .
na kule wezi huingia na kuiba .,na kuria aici matonyaga makaiya .
Lakini ikiwa jicho lina maovu ,No angikoruo riitho riaku riri na oru 
 Mchukue mwanao yule wa pekee ,“ Oya mũũrũguo ũrĩa wa mũũmwe 
Harani alikuwa baba yake Loti ,Harani aarĩ ithe wa Loti 
au mwarushie ngurue lulu zenu ,kana muikirie ngurue ruru cianyu 
aliishi miaka mia nne na tatu .,aikarire mĩaka magana mana na ĩtatũ .
alipokuwa na umri wa miaka 30 .,arĩ wa mĩaka mĩrongo ĩtatũ 
aliishi miaka mia nne na tatu ,aikarire mĩaka magana mana na ĩtatũ 
nao wakaacha kuujenga mji ule .,magĩtiga gwaka itũũra rĩu .
Vile Yesu alitoka mlimani juu ,Riria Jesu oimire kirima iguru 
watu wawili vipofu wakamfuata ,andu eri atumumu makimurumirira 
 Usimwambie mtu hata iwe nani , Ndukere mundu o na uriku 
na wote huzungumza lugha moja ,na maaragia rũthiomi o rũmwe 
Naye Musa akajiambia kwa moyo ,Naake Musa akĩĩĩra na ngoro 
Na vile kikundi kiliona hivyo ,Na riria kirindi kioonire uguo 
Basi Isaka akakaa huko Gerari .,Kwoguo Isaaka agĩtũũra Gerari .
kwa maana alisema moyoni kuwa ,tondu oigaga na ngoro atiri 
akafika amebeba mtungi begani .,agĩũka akuuĩĩte ndigithũ kĩande
na kuufunika uchi wa baba yao .,na makĩhumbĩra njaga ya ithe .
lakini kuja umwekele mkono  na,no uka umuigirire guoko  na
Naye Yesu alipojua mawazo yao ,Nake Jesu amenya meciria mao 
ambao mlitoka nao kwenye safina,iria mwoimire nacio thabinaini
na akaamka akaanza kumtumikia .,na agiukira  akiambiriria kumutungatira .
wakauliza wanafunzi wake hivi ,makiuria arutwo ake uu 
alaika wakamhimiza Loti wakisema,araika arĩa makĩhĩkahĩka Loti makĩmwĩra
Au NITAKUWA KAMA NITAKAVYOKUWA .,Kana NGŨKORWO NDĨ ŨRĨA NGAAKORWO
Asa alikua baba ya Jehoshafatu ,Asa aari ithe wa Jehoshafatu 
Siku hii nyingine asubuhi sana ,Mũthenya ũyũ ũngĩ rũũciinĩ tene 
Ibrahimu alikuwa baba ya Isaka ,Iburahimu aari ithe wa Isaaka 
na mwaombee wale wanaowachukia ,na muhoyagire aria mamunyariraga 
Salimoni alikua baba ya Boazi na,Salimoni aari ithe wa Boazu na
Hagari ni nini kinachokusumbua ?,Hagari nĩ kĩĩ kĩragũthĩĩnia ?
Abrahamu akampa Hagari chakula ,Aburahamu akĩhe Hagari irio 
Perezu alikua baba ya Hezironi ,Perezu aari ithe wa Hezironi 
kwani ni mke wa mtu mwingine . ”,nĩ gũkorwo nĩ mũtumia wa mũndũ ũngĩ . ”
Mwenyezi-Mungu akamwambia Mose ,Ngai akĩĩra Musa 
naye Abrahamu akarudi nyumbani .,naake Aburahamu agĩcooka mũciĩ .
Isaka akamchukua Rebeka hemani ,Isaaka agĩgĩtwara Rebeka hemainĩ 
Eliudu alikua baba ya Eleazaru ,Eliudu aari ithe wa Eleazaru 
Nao wanafunzi wake wakamwamsha ,Nao  arutwo ake makimuukiria 
Shemu na Yafethi wakatwaa nguo ,Shemu na Jafethi makĩoya nguo 
Naye Yesu akaamka na akamfuata ,Nake Jesu agiukira na akimurumirira 
kuamini kwako kumefanya upone . ,Witikio waku ni watuma uhone . 
ambayo Mwenyezi-Mungu alilaani .,ũrĩa MWATHANI aarumire .
Mtoto huyu ndiye atakayetufariji,Kaana gaaka nĩgagaatũnogora
Kuku aliwika saa moja limepita .,Nguku ikugire ithaa rimwe rithiru .
Mimi niliua mtu kwa kunijeruhi .,Nĩnjũragire mũndũ tondũ nĩangũthire .
lakini kwa kuwa umetenda maovu ,no tondũ wĩkĩĩte ũũru 
Tulinyeshewa tukienda nyumbani .,Ni twauriirwo tugithii mucii .
kwa nini uso wako umekunjamana ?,Nĩ kĩĩ gĩtũmĩĩte ũtuke gĩthiithi ?
Mtu mwenye ndugu wengi hachelewi,Mundu uri ndugu nyingi ndatukagirirwo
Naye Yesu akaamka na akamfuata ,Nake Jesu agiukira na akimurumirira 
 Ni nawasikilia watu hawa huruma, Ni ndiraiguira andu aya tha
Wakati huo alikuwa akizungumza ,O hindi iyo aaragia 
wanafunzi hao wakamuuliza kuwa ,arutwo acio makimuuria atiri 
Wakati walifika kwenye kikundi ,Riria maakinyire hari kirindi 
Ni heri upewe uzima ukiwa kiwete,Ni kaba ukaaheo muoyo uri kionje
Nyoka akamwambia mwanamke kuwa .,Nyoka ĩkĩĩra mũtumia atĩrĩ .
na mtumwa kuwa kama bwana wake .,na ngombo gutuika ta mwathi wayo .
wale walio na ukoma wakaponywa .,aria mari na mangu makahonio .
Mwenyezi-Mungu Shemu abarikiwe !,MWATHANI wa Shemu arogoocwo !
mimi niliye kitu kisicho dhamani,Niĩ ndĩ o kĩndũ gĩtarĩ kĩene
nao ndege wa angani wana viota ,nacio nyoni cia riera-ini ni iri itara 
hapo ndipo roho yako nayo huwa .,hau niho ngoro yaku o nayo irikoragwo .
Kwa sababu Sara alikua na hofu ,Tondũ Sara nĩaiguire guoya
usiogope kuoa mke wako Mariamu ,ndugetigire kuhikia mutumia waku Mariamu 
akawapelekea watu wale akawapa ,agĩtwarĩra andũ acio akĩmahe 
Yusufu akaamka kutoka usingizini,Jusufu agiukira kuuma toro
Kisha akapiga mbio hadi zizini ,Agĩcooka agĩteng'era rũũruinĩ 
na mkimwona  mtarudi mniambie ,na mwamuona mugaacoka munjire
na atakuwa mama wa mataifa mengi,na nĩegũtuĩka nyina wa ndũũrĩrĩ nyingĩ 
atatahiriwa akiwa wa siku nane .,karĩruaga ge ka matukũ manaana .
' sisi ni watoto wa Ibrahimu . ',' ithui turi ciana cia Iburahimu . '
na Mungu wa wazawa wako milele .,na Ngai wa njiarwa ciaku nginya tene .
' Usimjaribu Yehova Mungu wako ',' Ndukanagerie Jehova Ngai waku '
Galilaya kwa watu wa makabila ! ,Galili kwa andu a nduriri ! 
akashikwa na hofu na akashtuka .,akĩigua guoya na akĩmaka .
na nitawafanya wavuvi wa watu . ,na ni ngumutua ategi a andu . 
Abramu akamwamini Mwenyezi-Mungu,Aburamu agĩĩtĩkia MWATHANI
akihubiri habari njema ya Ufalme,akihunjagia uhoro uria mwega wa Uthamaki
wale waliokua na maumivu makuu ,aria maari na ruo runene 
no andũ aakwa oothe ũnjookerie ,lakini watu wangu wote nirudishie 
Mwenyezi-Mungu akamwambia Abramu,MWATHANI akĩĩra Aburamu
Wamekwisha pata zawadi ya yote .,Ni marikitie kwamukira kiheo kiao giothe .
jiwekeeni hazina kule mbinguni ,mwiigirei muthithu kuria iguru 
na mtu yeyote atafutaye hupata ,na mundu o wothe ucaragia ni onaga 
si atawavika nyinyi hata zaidi ,githi ndarikimuhumbaga inyui o na makiria 
na watu wakuinamie kwa heshima .,na andũ marokũinamagĩrĩra na thiiti .
lakini Rebeka akampenda Yakobo .,no Rebeka eendeete Jakubu .
na watoto wa mamako wakuinamie .,na ciana cia maitũguo irokũinamagĩrĩra .
nenda ukaniletee hao wanambuzi ,thiĩ ũndeehere tũũri tũu 
 Ndani yako una mataifa mawili ,“ Thĩinĩ waku wĩ na ndũũrĩrĩ igĩrĩ 
na sisi hatuwezi kuamua lolote .,na ithuĩ tũtirĩ ũndũ tũngĩtua .
Atamtuma malaika wake mbele yako,Nĩagaatũma mũraika wake mbere yaku
kaburi iliyo nzuri tuliyo nayo .,mbĩĩrĩrainĩ ĩrĩa njega mũno twĩ nayo .
Alienda kwa mtumishi wa Abrahamu,Nĩagĩthiire harĩ ndungata ya Aburahamu
Mungu alimbariki mwanawe Isaka .,Ngai nĩaraathimire mũũrũwe Isaaka .
Nao watakusikiliza vile utasema ,Nao nĩmagaathikĩrĩria ũrĩa ũkaameera 
Shelumieli mwana wa Suri-shadai ,Shelumieli mũrũ wa Zurishadai 
mtapewa yale mtasema wakati huo .,ni mukaaheo uria mukuuga o hindi iyo .
waambie kuwa wewe ni dada yangu ,meere atĩ wĩ mwarĩ wa maitũ 
Lakini najua kuwa mfalme wa Misri,No rĩĩrĩ nĩnjũũĩ atĩ mũthamaki wa Misiri
Na wakati Yesu aliona imani yao ,Na riria Jesu  onire witikio wao 
nitafanya mambo ya maajabu huko .,gwĩka maũndũ ma kũguoyohia kuo .
akamzalia Abrahamu mtoto wa kiume,agĩciarĩra Aburahamu kahĩĩ
Tena mtu atapeana nduguye auawe .,Ningi mundu ni akaaneana muru wa nyina oragwo .
ni jambo lipi la ziada mmefanya ?,ni undu uriku wa mwanya mweka ?
lakini wanafunzi wakamuuliza hivi,no arutwo makimuuria uu
Nyama ya kijichagulia haina mfupa,Nyama ya gwithurira ndiri ihindi
mfalme akamwita Abramu akamwuliza,mũthamaki nĩetire Aburamu akĩmũũria
Wote ni nyinyi mtakua mkitawala .,Ciothe nĩ inyuĩ mũrĩciathaga .
ulinikubalia nimfanye mke wangu ?,ũranjĩtĩkĩria ndĩmũtue mũtumia wakwa ?
Kisha mfalme akawaamuru watu wake,Mũthamaki agĩgĩatha andũ aake
akamuuliza mtumishi wa Abrahamu ,akĩũria ndungata ya Aburahamu 
kulingana na familia na koo zao .,kũringana na mĩhĩrĩga na mbarĩ ciao .
Najua kuwa wewe ni mwanamke mzuri,Nĩnjũũĩ wee wĩ mũtumia mũthaka 
maana Mwenyezi-Mungu alimbariki ,amu MWATHANI nĩamũraathimire 
basi kiapo changu hakitakufunga .,mwĩhĩtwa ũyũ ndũgaakũrĩa .
Mwenyezi-Mungu akamuuliza Kaini ,MWATHANI akĩũria Kaini 
Mpenda kushauriwa ni mpenda kujua,Mwendi gũtaarwo nĩ mwenda umenyo
na tukafukuza pepo na jina lako ,na tukaingata ndaimono na riitwa riaku 
Kaini akamvamia nduguye akamuua .,Kaini agĩũkĩrĩra mũrũ wa nyina akĩmũũraga .
Mwenyezi-Mungu akamwuliza Kaini .,MWATHANI agĩkĩũria Kaini .
 ufalme wa mbinguni umekaribia . , uthamaki wa iguru ni ukuhiriirie . 
Yesu alizaliwa mjini Bethlehemu ,Jesũ aaciarĩirwo itũũra rĩa Bethilehemu 
Na vile Yesu alienda kwa Petero ,Na riria Jesu athiire kwa Petero 
Kwa ajili hiyo nitawaambia hivi ,Ni undu ucio ngumwira uu 
Wale watu wawili wakamwambia Loti,Andũ acio eerĩ magĩkĩĩra Loti
mwili wako wote utakuwa na giza .,mwiri waku wothe urikoragwo na nduma .
na uwache wafu wazike wafu wao . ,na ureke akuu mathike akuu ao . 
watoto hao wakasumbuana tumboni .,ciana icio ikĩgianĩra nda .
akaenda kuishi pangoni milimani .,agĩgĩthiĩ gũtũũra ngurungainĩ irĩmainĩ .
Nitawambariki wale watakubariki ,Nĩndĩraathimaga arĩa makũraathima 
Ujuzi wa wanaume hukata kama kisu,Ugi wa arume utemaga ta kahiu
kaa katika nchi nitakayokuambia .,ikara bũrũri ũrĩa ngũkwĩra .
Kisha akatwaa mavazi bora ya Esau,Agĩcooka akĩoya nguo njega cia Esau
 Kwani huyu ni mtu wa aina gani ?,Kai uyu ari mundu wa muthemba uriku ?
Daudi alikua baba ya Suleimani na,Daudi aari ithe wa Suleimani na
mwili wako wote utakuwa na nuru .,mwiri waku wothe urikoragwo na utheri .
Rehoboamu alikuwa baba ya Abija ,Rehoboamu aari ithe wa Abija 
ndiyo maana sikukuruhusu umguse .,na kwoguo ndirekeete ũmũthengerere .
Ng`ombe wetu atazaa ndama mzuri .,Ng'ombe itu ni igaciara gacau kega .
siku ya kwanza ya mwezi wa kwanza,Mũthenya wa mbere wa mweri wa mbere
Ubaya huu ninaotendewa ukurudie !,Ũũru ũyũ njĩkĩĩtwo ũrogũcookerera !
Lakini Yohana akajaribu kumzuia ,No Johana akigeria kumugiria 
wakaendelea mbele na safari yao .,magĩthiĩ na mbere na rũgendo rwao .
geuza mkate mawe haya yawe mikate,garura mahiga maya matuike migate
Kufurahi  ni wale wenye huzuni , Gukena-ri  ni aria macakayaga 
tawi la mzeituni na midomo yake .,ithangũ rĩa mũtamaiyũ na mũtheece wayo .
Wakati Yesu alikua akitoka huko ,Riria Jesu oimaga kuu 
ili hata mimi niende nimwabudu . ,niguo o na nii thii ngamuinamirire . 
na wale waliokua wapooza viungo ,na aria maakuite ciiga 
Paka ni wakati amekunywa maziwa .,Nyau ni hindi yanyua iria .
kukanyesha mvua mchana na usiku ,gũkiura mbura mũthenya na ũtukũ 
na wale watakubariki wabarikiwe !,na arĩa marĩkũraathimaga maroraathimagwo !
Noa alikuwa na umri wa miaka sita,Noa aarĩ wa mĩaka magana matandatũ
